title,link
YouTube Now Defaults to HTML5 Video,http://youtube-eng.blogspot.com/2015/01/youtube-now-defaults-to-html5_27.html
The Single Tag Website,http://cj-johnson.github.io/Single-Tag_Website/
New Features in Canvas 2D,https://hacks.mozilla.org/2015/01/canvas-2d-new-docs-path2d-hit-regions/
MDN docs for Canvas 2D,https://developer.mozilla.org/en-US/docs/Web/API/Canvas_API
Transactional HTML Email Templates Free for Download,http://blog.mailgun.com/transactional-html-email-templates/?utm_source=HTML5WeeklyJan28&utm_medium=Email&utm_campaign=BlogPostTransactionalEmail
,http://blog.mailgun.com/transactional-html-email-templates/?utm_source=HTML5WeeklyJan28&utm_medium=Email&utm_campaign=BlogPostTransactionalEmail
Inside Microsoftâ€™s New Rendering Engine For 'Project Spartan',http://www.smashingmagazine.com/2015/01/26/inside-microsofts-new-rendering-engine-project-spartan/
On Use of the 'lang' Attribute,http://blog.adrianroselli.com/2015/01/on-use-of-lang-attribute.html
Best Practice for Creating Custom Elements,http://www.broken-links.com/2015/01/27/best-practice-creating-custom-elements/

